I,date,IXIC.Close,BAM
844,5/10/2013,3436.580078,4.23
845,5/13/2013,3438.790039,4.35
846,5/14/2013,3462.610107,4.35
847,5/15/2013,3471.620117,4.36
848,5/16/2013,3465.23999,4.42
849,5/17/2013,3498.969971,4.37
850,5/20/2013,3496.429932,4.34
851,5/21/2013,3502.120117,4.35
852,5/22/2013,3463.300049,4.27
853,5/23/2013,3459.419922,4.42
854,5/24/2013,3459.139893,4.45
855,5/28/2013,3488.889893,4.35
856,5/29/2013,3467.52002,4.55
857,5/30/2013,3491.300049,4.54
858,5/31/2013,3455.909912,4.62
859,6/3/2013,3465.370117,4.76
860,6/4/2013,3445.26001,4.79
861,6/5/2013,3401.47998,5.03
862,6/6/2013,3424.050049,5.08
863,6/7/2013,3469.219971,4.89
864,6/10/2013,3473.77002,4.86
865,6/11/2013,3436.949951,5.08
866,6/12/2013,3400.429932,5.02
867,6/13/2013,3445.360107,5.11
868,6/14/2013,3423.560059,5.04
869,6/17/2013,3452.129883,4.97
870,6/18/2013,3482.179932,4.96
871,6/19/2013,3443.199951,4.85
872,6/20/2013,3364.639893,5.12
873,6/21/2013,3357.25,5.09
874,6/24/2013,3320.76001,5.34
875,6/25/2013,3347.889893,5.34
876,6/26/2013,3376.219971,5.29
877,6/27/2013,3401.860107,5.23
878,6/28/2013,3403.25,5.16
879,7/1/2013,3434.48999,5.17
880,7/2/2013,3433.399902,5.15
881,7/3/2013,3443.669922,5.15
882,7/5/2013,3479.379883,5.04
883,7/8/2013,3484.830078,5.11
884,7/9/2013,3504.26001,5.04
885,7/10/2013,3520.76001,4.98
886,7/11/2013,3578.300049,4.9
887,7/12/2013,3600.080078,4.8
888,7/15/2013,3607.48999,4.77
889,7/16/2013,3598.5,4.72
890,7/17/2013,3610,4.68
891,7/18/2013,3611.280029,4.57
892,7/19/2013,3587.610107,4.56
893,7/22/2013,3600.389893,4.53
894,7/23/2013,3579.27002,4.5
895,7/24/2013,3579.600098,4.55
896,7/25/2013,3605.189941,4.65
897,7/26/2013,3613.159912,4.71
898,7/29/2013,3599.139893,4.69
899,7/30/2013,3616.469971,4.66
900,7/31/2013,3626.370117,4.71
901,8/1/2013,3675.73999,4.63
902,8/2/2013,3689.590088,4.74
903,8/5/2013,3692.949951,4.74
904,8/6/2013,3665.77002,4.76
905,8/7/2013,3654.01001,4.81
906,8/8/2013,3669.120117,4.8
907,8/9/2013,3660.110107,4.8
908,8/12/2013,3669.949951,4.78
909,8/13/2013,3684.439941,4.72
910,8/14/2013,3669.27002,4.69
911,8/15/2013,3606.120117,4.74
912,8/16/2013,3602.780029,4.7
913,8/19/2013,3589.090088,4.71
914,8/20/2013,3613.590088,4.8
915,8/21/2013,3599.790039,4.77
916,8/22/2013,3638.709961,4.73
917,8/23/2013,3657.790039,4.75
918,8/26/2013,3657.570068,4.75
919,8/27/2013,3578.52002,4.82
920,8/28/2013,3593.350098,4.77
921,8/29/2013,3620.300049,4.76
922,8/30/2013,3589.870117,4.73
923,9/3/2013,3612.610107,4.69
924,9/4/2013,3649.040039,4.64
925,9/5/2013,3658.780029,4.59
926,9/6/2013,3660.01001,4.63
927,9/9/2013,3706.179932,4.66
928,9/10/2013,3729.02002,4.6
929,9/11/2013,3725.01001,4.63
930,9/12/2013,3715.969971,4.61
931,9/13/2013,3722.179932,4.6
932,9/16/2013,3717.850098,4.54
933,9/17/2013,3745.699951,4.59
934,9/18/2013,3783.639893,4.67
935,9/19/2013,3789.379883,4.51
936,9/20/2013,3774.72998,4.54
937,9/23/2013,3765.290039,4.6
938,9/24/2013,3768.25,4.65
939,9/25/2013,3761.100098,4.7
940,9/26/2013,3787.429932,4.69
941,9/27/2013,3781.590088,4.75
942,9/30/2013,3771.47998,4.83
943,10/1/2013,3817.97998,4.78
944,10/2/2013,3815.02002,4.78
945,10/3/2013,3774.340088,4.75
946,10/4/2013,3807.75,4.7
947,10/7/2013,3770.379883,4.69
948,10/8/2013,3694.830078,4.68
949,10/9/2013,3677.780029,4.67
950,10/10/2013,3760.75,4.61
951,10/11/2013,3791.870117,4.62
952,10/14/2013,3815.280029,4.6
953,10/15/2013,3794.01001,4.54
954,10/16/2013,3839.429932,4.55
955,10/17/2013,3863.149902,4.53
956,10/18/2013,3914.280029,4.46
957,10/21/2013,3920.050049,4.41
958,10/22/2013,3929.570068,4.44
959,10/23/2013,3907.070068,4.44
960,10/24/2013,3928.959961,4.4
961,10/25/2013,3943.360107,4.42
962,10/28/2013,3940.129883,4.44
963,10/29/2013,3952.340088,4.45
964,10/30/2013,3930.620117,4.43
965,10/31/2013,3919.709961,4.36
966,11/1/2013,3922.040039,4.31
967,11/4/2013,3936.590088,4.33
968,11/5/2013,3939.860107,4.33
969,11/6/2013,3931.949951,4.35
970,11/7/2013,3857.330078,4.34
971,11/8/2013,3919.22998,4.38
972,11/11/2013,3919.790039,4.38
973,11/12/2013,3919.919922,4.35
974,11/13/2013,3965.580078,4.42
975,11/14/2013,3972.73999,4.41
976,11/15/2013,3985.969971,4.38
977,11/18/2013,3949.070068,4.35
978,11/19/2013,3931.550049,4.31
979,11/20/2013,3921.27002,4.29
980,11/21/2013,3969.159912,4.32
981,11/22/2013,3991.649902,4.3
982,11/25/2013,3994.570068,4.27
983,11/26/2013,4017.75,4.27
984,11/27/2013,4044.75,4.24
985,11/29/2013,4059.889893,4.23
986,12/2/2013,4045.26001,4.19
987,12/3/2013,4037.199951,4.22
988,12/4/2013,4038,4.19
989,12/5/2013,4033.169922,4.16
990,12/6/2013,4062.52002,4.13
991,12/9/2013,4068.75,4.11
992,12/10/2013,4060.48999,4.15
993,12/11/2013,4003.810059,4.11
994,12/12/2013,3998.399902,4.11
995,12/13/2013,4000.97998,4.12
996,12/16/2013,4029.52002,4.09
997,12/17/2013,4023.679932,4.15
998,12/18/2013,4070.060059,4.14
999,12/19/2013,4058.139893,4.07
1000,12/20/2013,4104.740234,4.04
1001,12/23/2013,4148.899902,4
1002,12/24/2013,4155.419922,3.96
1003,12/26/2013,4167.180176,3.96
1004,12/27/2013,4156.589844,3.96
1005,12/30/2013,4154.200195,3.97
1006,12/31/2013,4176.589844,4
1007,1/2/2014,4143.069824,4
1008,1/3/2014,4131.910156,3.98
1009,1/6/2014,4113.680176,3.96
1010,1/7/2014,4153.180176,3.92
1011,1/8/2014,4165.609863,3.87
1012,1/9/2014,4156.189941,3.88
1013,1/10/2014,4174.669922,3.95
1014,1/13/2014,4113.299805,3.97
1015,1/14/2014,4183.02002,3.92
1016,1/15/2014,4214.879883,3.87
1017,1/16/2014,4218.689941,3.88
1018,1/17/2014,4197.580078,3.88
1019,1/21/2014,4225.759766,3.86
1020,1/22/2014,4243,3.82
1021,1/23/2014,4218.879883,3.92
1022,1/24/2014,4128.169922,4.08
1023,1/27/2014,4083.610107,4.09
1024,1/28/2014,4097.959961,4.08
1025,1/29/2014,4051.429932,4.15
1026,1/30/2014,4123.129883,4.12
1027,1/31/2014,4103.879883,4.21
1028,2/3/2014,3996.959961,4.28
1029,2/4/2014,4031.52002,4.31
1030,2/5/2014,4011.550049,4.28
1031,2/6/2014,4057.120117,4.21
1032,2/7/2014,4125.859863,4.2
1033,2/10/2014,4148.169922,4.16
1034,2/11/2014,4191.049805,4.08
1035,2/12/2014,4201.290039,4.01
1036,2/13/2014,4240.669922,4.07
1037,2/14/2014,4244.02002,4.03
1038,2/18/2014,4272.779785,4.01
1039,2/19/2014,4237.950195,3.95
1040,2/20/2014,4267.549805,3.92
1041,2/21/2014,4263.410156,3.9
1042,2/24/2014,4292.970215,3.85
1043,2/25/2014,4287.589844,3.84
1044,2/26/2014,4292.060059,3.84
1045,2/27/2014,4318.930176,3.83
1046,2/28/2014,4308.120117,3.81
1047,3/3/2014,4277.299805,3.87
1048,3/4/2014,4351.970215,3.79
1049,3/5/2014,4357.970215,3.78
1050,3/6/2014,4352.129883,3.78
1051,3/7/2014,4336.220215,3.79
1052,3/10/2014,4334.450195,3.82
1053,3/11/2014,4307.189941,3.82
1054,3/12/2014,4323.330078,3.87
1055,3/13/2014,4260.419922,3.92
1056,3/14/2014,4245.399902,3.96
1057,3/17/2014,4279.950195,3.9
1058,3/18/2014,4333.310059,3.87
1059,3/19/2014,4307.600098,3.74
1060,3/20/2014,4319.290039,3.79
1061,3/21/2014,4276.790039,3.76
1062,3/24/2014,4226.390137,3.75
1063,3/25/2014,4234.27002,3.73
1064,3/26/2014,4173.580078,3.75
1065,3/27/2014,4151.22998,3.77
1066,3/28/2014,4155.759766,3.73
1067,3/31/2014,4198.990234,3.77
1068,4/1/2014,4268.040039,3.73
1069,4/2/2014,4276.459961,3.66
1070,4/3/2014,4237.740234,3.64
1071,4/4/2014,4127.72998,3.68
1072,4/7/2014,4079.75,3.72
1073,4/8/2014,4112.990234,3.73
1074,4/9/2014,4183.899902,3.74
1075,4/10/2014,4054.110107,3.77
1076,4/11/2014,3999.72998,3.82
1077,4/14/2014,4022.689941,3.76
1078,4/15/2014,4034.159912,3.75
1079,4/16/2014,4086.22998,3.73
1080,4/17/2014,4095.52002,3.68
1081,4/21/2014,4121.549805,3.67
1082,4/22/2014,4161.459961,3.65
1083,4/23/2014,4126.970215,3.68
1084,4/24/2014,4148.339844,3.66
1085,4/25/2014,4075.560059,3.69
1086,4/28/2014,4074.399902,3.68
1087,4/29/2014,4103.540039,3.66
1088,4/30/2014,4114.560059,3.71
1089,5/1/2014,4127.450195,3.75
1090,5/2/2014,4123.899902,3.73
1091,5/5/2014,4138.060059,3.74
1092,5/6/2014,4080.76001,3.72
1093,5/7/2014,4067.669922,3.74
1094,5/8/2014,4051.5,3.75
1095,5/9/2014,4071.870117,3.74
1096,5/12/2014,4143.859863,3.7
1097,5/13/2014,4130.169922,3.7
1098,5/14/2014,4100.629883,3.73
1099,5/15/2014,4069.290039,3.78
1100,5/16/2014,4090.590088,3.77
1101,5/19/2014,4125.810059,3.76
1102,5/20/2014,4096.890137,3.77
1103,5/21/2014,4131.540039,3.77
1104,5/22/2014,4154.339844,3.78
1105,5/23/2014,4185.810059,3.78
1106,5/27/2014,4237.069824,3.76
1107,5/28/2014,4225.080078,3.8
1108,5/29/2014,4247.950195,3.78
1109,5/30/2014,4242.620117,3.75
1110,6/2/2014,4237.200195,3.61
